Agency Name,Phone Number,City
"""ЕсЕл&ДжиЕр Къмпани""ЕООД",0888492790,
"""Империум Груп 2020"" ООД",0896380248,
"""МАТЕНА ЕСТЕЙТ"" ЕООД",0878916209,
"""Про Пак"" ООД",0887421661,
366ESTATE,0888933666,
Albertin Real Estate ltd.,0897637767,
ArchiStone,0887310388,
Artisstroy,0876834234,
Atlanta,0884551510,
BG Home Services Ltd,0885492310,
Bliznakov,0890142414,
bolgarskiydom.com,0876181282,
bulgarskiewczasyeu,0898351835,
D&M Service Group,0878103391,
DM DIMITROV CONSULT LTD EOOD,0895848354,
Dброкер,0888550851,
Eстейт трейд,0886626613,
Fenix Invest ANA Ltd,0887432873,
GALA Real Estate,0885945400,
Gancheva,0899213112,
Gold Estate,0895494621,
Imoti biala,0886478033,from agency_contacts import build_agency_url_map, get_contact_info, _make_session

session = _make_session()

# Один раз за запуск — строит/загружает из кэша
agency_url_map = build_agency_url_map(session=session, use_cache=True)

contact_cache = {}   # передавать один и тот же объект во все вызовы

info = get_contact_info(
    seller_name="Хоби Имоти ЕООД",
    ad_type="від агенції",
    agency_url_map=agency_url_map,
    contact_cache=contact_cache,
    session=session,
)
# {"contact_name": "Весела Ангелова", "email": "vesela@abv.bg"}
İmoti Turkey,05323660829,
Imotio Estates,0878860940,
Just Balkan Property,0885167890,
KONSTANTINOV REAL ESTATE,0888963796,
Laza Invest LTD,0876227033,
Luks Marbella S.L.,,
MadPropertiess,0879350594,
MG HOMES,0899938045,
MGroup23,0899107805,
Midas Group,,
Molero realestate,0892096770,
Move2BG,,
Planet properties,0876975408,
Polarstar Real Estate OOD,,
Real Co. ltd,0893666807,
SOFimot.bg,0878573728,
Somnium,0895940422,
Space Real Estate Agency,0877879933,
SunRealtyBg,0884648188,
SVMG Properties,0884269692,
Tne village,0889232012,
Trip Spot,0876252620,
Unidos Trade,0876996561,
unisurface,0887215155,
VICUS INVEST LTD.,0877311334,
Аг. Прогрес 2007 Имоти,0897744182,
АГЕНЦИЯ ДАУНТАУН,0988740238,
АДРЕС Недвижими Имоти - Кантора Сандански,020884186724,
АЙКЮ ЕСТЕЙТ,0895588039,
АЛ ЛУКС ИМОТИ,0888021234,
ала бала оод,0897025560,
Алтера ЕООД,0899526972,
амала 9999,0988891622,
Андромеда Риъл Естейт ООД,032207071,
АНСПА ЕООД,0897881373,
Арена имот,0876966282,
АС ДЖЕЙ ДИ,0877684567,
Астромелия ЕООД,0889644744,
Билдинг Бокс,0879900994,
БИМ Имоти ЕООД,0888844499,
БКПЛАНЕРА ГРУП,0877324046,
Бридж Естейт ООД,0899935384,
БЪЛГАРИЯ ИМОТ ПЛЮС,0878784407,
Български Дом,0882255322,
Бюти Хоум,0887691778,
Ваклин груп ООД,,
Варма Наеми,0899182323,
Ви Груп Бг Еоод,0898477070,
ВИЕЛ,0888762367,
Гогика ООД,0878286699,
Гранде Недвижими Имоти,0895002221,
Деказ ООД,0886060001,
Джелато Ди Папа ЕООД,0899881544,
Димитрова-Естейт ЕООД,0876218787,
Дом Експрес,0888214049,
ЕВРОИМОТИ ООД,0889675457,
Елит Естейт,0886330554,
ЕРА ЛИДЕР,0896787907,
ЕРА Централ,0887909017,
Ес енд Ей Пропърти Експертс ООД,0885841250,
ЖИВИН ООД,0888543507,
Имот Секонд Еоод,0877519326,
Имот360,0895764435,
Имоти България,052600000,
Имоти Зона,0893212422,
Интелкомс ЕООД,0887253264,
ИНТЕЛЛИГАРД ЕООД,0885816803,
Интеллигард2023,0230886000982,
Интрига Недвижими Имоти,0879387573,
КАРТ 19,0889584444,
Колев Консулт Царево,0888361509,
колев-имот,0895736665,
Кондор Недвижими Имоти,0897777032,
Консулти 2020 ЕООД,0894314941,
Контакт ЕООД,0896878776,
КОСТАДИНОВ ИМОТИ,0887800179,
КРИПЕТ ХОУМ,0896618161,
КУТИЯ ЕООД,0890511022,
Легал Естейтс ООД,0898550595,
Лидерс Финанс ЕООД,0895486632,
ЛИРА Реалти,,
Ловков и К,0878055560,
Лъки Недвижими Имоти,0884688866,
М и С Билд ООД,0888699789,
Мартинови ООД,0877668895,
МДК България,0877100115,
Медия плюс имоти,0893571872,
Море-недвижими имоти,0889341923,
Мориа ЕООД,0889970860,
МОРСКИ БРИЗ 54 ЕООД,0887786556,
МСС4 ЕООД,,
МУЛТИБРОКЕР,0888010613,
Наталия имоти,0888644502,
недвижими имоти,0879019012,
